epoch,density_map_output_loss,density_map_output_mean_absolute_error_count,loss,point_map_output_localized_counting_error,point_map_output_loss,val_density_map_output_loss,val_density_map_output_mean_absolute_error_count,val_loss,val_point_map_output_localized_counting_error,val_point_map_output_loss
0,0.008680985309183598,440.30389404296875,0.49963274598121643,1166.5389404296875,0.4909518361091614,0.0064624701626598835,723.4686279296875,0.4905441999435425,925.0737915039062,0.48408177495002747
1,0.005518781952559948,301.4039001464844,0.4179452657699585,512.60302734375,0.4124262034893036,0.004584380891174078,182.22984313964844,0.3860771954059601,201.9098358154297,0.38149285316467285
2,0.005030466243624687,264.4518127441406,0.37833136320114136,249.97134399414062,0.3733009099960327,0.0058301701210439205,183.7275848388672,0.3822605311870575,244.1024627685547,0.37643009424209595
3,0.004906855523586273,264.5651550292969,0.3657756447792053,224.13369750976562,0.36086857318878174,0.0054168980568647385,728.2730712890625,0.3912219703197479,668.3524780273438,0.3858048915863037
4,0.004699034616351128,266.57440185546875,0.35470736026763916,215.70394897460938,0.3500083386898041,0.003939978778362274,276.6756896972656,0.3450605273246765,153.38934326171875,0.34112051129341125
5,0.0046622310765087605,272.8313293457031,0.35303208231925964,214.77899169921875,0.3483699858188629,0.0040000067092478275,100.30548858642578,0.34550565481185913,131.62704467773438,0.3415057063102722
6,0.004518792498856783,255.72669982910156,0.3450121581554413,206.728515625,0.34049341082572937,0.003936335910111666,257.0682067871094,0.3354775905609131,138.64344787597656,0.3315413296222687
7,0.0043775965459644794,249.58380126953125,0.3380933403968811,200.62074279785156,0.33371588587760925,0.0036038842517882586,130.76429748535156,0.349197119474411,310.11474609375,0.3455929756164551
8,0.00442859809845686,244.69223022460938,0.34021663665771484,202.63165283203125,0.33578816056251526,0.004145585931837559,256.92523193359375,0.33252033591270447,310.8934326171875,0.3283748924732208
9,0.004280305001884699,251.44338989257812,0.3314291834831238,200.03819274902344,0.327148973941803,0.003623169381171465,92.58467864990234,0.32451221346855164,138.33197021484375,0.32088911533355713
10,0.004275124985724688,258.03216552734375,0.3299936354160309,205.6098175048828,0.3257184624671936,0.004568649921566248,135.19268798828125,0.3858073949813843,222.4098358154297,0.3812389373779297
11,0.004178229719400406,246.39198303222656,0.3282075524330139,203.11732482910156,0.32402944564819336,0.007535938173532486,1182.506103515625,0.39252209663391113,742.2581787109375,0.38498619198799133
12,0.004064931534230709,227.7881317138672,0.3257670998573303,205.6739501953125,0.3217022120952606,0.00385598954744637,310.08819580078125,0.3210897147655487,181.86065673828125,0.317233681678772
13,0.004030227195471525,243.0989990234375,0.32081350684165955,202.29605102539062,0.3167833387851715,0.003590831533074379,296.3059997558594,0.3125579357147217,100.84016418457031,0.3089669644832611
14,0.004111394751816988,239.44839477539062,0.3264634907245636,203.4624786376953,0.32235202193260193,0.003685813397169113,264.7581787109375,0.3156074583530426,226.72950744628906,0.3119215667247772
15,0.003958749584853649,230.25669860839844,0.3190690577030182,198.3260498046875,0.3151102364063263,0.0035339563619345427,113.3262710571289,0.3111715614795685,105.98360443115234,0.3076375424861908
16,0.003918097820132971,227.53233337402344,0.3160386383533478,194.8267364501953,0.312120646238327,0.003670086618512869,362.5372314453125,0.3182758688926697,333.75,0.3146057426929474
17,0.0038536207284778357,223.27664184570312,0.313171923160553,192.1364288330078,0.3093183636665344,0.0036980737932026386,199.5890655517578,0.32975006103515625,570.9713134765625,0.32605206966400146
18,0.003759036073461175,214.01718139648438,0.31134554743766785,195.28921508789062,0.30758655071258545,0.0038708203937858343,104.04186248779297,0.31508931517601013,263.7704772949219,0.3112185001373291
19,0.003847031155601144,219.18408203125,0.3135662078857422,194.83901977539062,0.3097193241119385,0.004816132597625256,494.91400146484375,0.3616344630718231,786.7909545898438,0.35681837797164917
20,0.003800175152719021,220.05953979492188,0.31320685148239136,196.85675048828125,0.30940642952919006,0.00325422128662467,160.6771240234375,0.3103830814361572,100.86475372314453,0.3071288764476776
21,0.003612912492826581,208.93276977539062,0.3062005341053009,186.05184936523438,0.3025875985622406,0.0040511274710297585,163.84759521484375,0.30644822120666504,155.0901641845703,0.30239713191986084
22,0.0036838974338024855,200.83546447753906,0.3077109158039093,189.7939910888672,0.30402708053588867,0.0032834752928465605,85.15995025634766,0.30292612314224243,130.27049255371094,0.29964274168014526
23,0.003582980716601014,199.78662109375,0.30400049686431885,182.43246459960938,0.3004172146320343,0.0036291093565523624,381.710205078125,0.30989542603492737,97.86065673828125,0.30626630783081055
24,0.003556006820872426,192.79751586914062,0.3029891550540924,177.20327758789062,0.29943326115608215,0.0031815944239497185,131.12570190429688,0.3008810579776764,113.42623138427734,0.2976994514465332
25,0.0036124479956924915,193.48486328125,0.30623185634613037,185.91815185546875,0.3026195466518402,0.0032243668101727962,89.36949920654297,0.300397664308548,157.15164184570312,0.29717332124710083
26,0.0035959116648882627,192.0511016845703,0.3040164113044739,180.54296875,0.30042028427124023,0.004365434870123863,464.5258483886719,0.31075507402420044,303.2663879394531,0.3063897490501404
27,0.003465067595243454,179.7965087890625,0.29943886399269104,176.17599487304688,0.2959740161895752,0.0037784194573760033,198.15602111816406,0.3139553368091583,196.97540283203125,0.31017687916755676
28,0.0034324107691645622,175.74378967285156,0.2984835207462311,170.4679412841797,0.2950511574745178,0.003541543846949935,342.8243103027344,0.3121664822101593,99.35246276855469,0.308624804019928
29,0.0033943678718060255,169.68565368652344,0.2967838943004608,168.04638671875,0.2933894991874695,0.003459941130131483,248.57603454589844,0.3174126148223877,122.57376861572266,0.31395280361175537
